time,ax,ay,az,yaw,distance
16.469,0.2608,-1.42747,10.4464,235.2476,33.289813234364864
16.512,0.3685,-2.1846,11.7309,234.9374,33.379851871568945
16.555,-0.0062,-0.85327,12.1726,234.6325,33.469246000149354
16.598,-0.6347,-0.25938,12.8142,234.3308,33.558096927813864
16.641,-0.2456,-1.97131,10.0022,234.0425,33.64630670411408
16.684,-0.1546,-1.09824,8.1791,233.7483,33.73392045910392
16.727,0.1614,-1.56959,8.7549,233.7515,33.82095429083423
16.77,-0.023,-1.14301,9.9292,233.4405,33.90745842132324
16.813,-0.0936,1.50249,13.2787,233.1222,33.993833135918536
16.856,0.0537,-2.24389,10.8498,232.8176,34.0799402912323
16.899,0.0632,-0.90332,7.8594,232.4971,34.16584198858707
16.942,0.0177,0.03949,8.2676,232.1807,34.251717131680664
16.985,0.2368,-2.9799,9.4947,231.8661,34.337341938174006
17.028,0.2344,0.48587,9.454,231.5318,34.42298940754422
17.071,0.408,0.56628,9.6371,231.2005,34.50893757608099
17.114,0.5098,0.4411,9.2337,230.8866,34.595431827587106
17.157,0.7073,1.18514,8.7752,230.5876,34.68281885199982
17.2,0.1363,1.80664,9.8227,230.3115,34.77141768923473
17.243,0.1985,1.07844,11.173,230.062,34.86142271343736
17.286,0.3637,0.76241,11.24,229.8588,34.95298641936298
17.329,0.0285,-0.28974,9.7185,229.6794,35.04605886785999
17.372,-0.588,2.31231,10.4188,229.551,35.14086148298905
17.415,-0.3258,0.24497,10.7744,229.4643,35.237348161268905
17.458,-0.3821,-1.47873,9.4324,229.4184,35.335238421999016
17.501,-0.5114,1.44056,10.1782,229.3944,35.43465234011552
17.544,0.2667,-2.59149,9.6706,229.4027,35.535263216544145
17.587,0.3733,-1.34178,8.6711,229.421,35.636959555764705
17.63,-0.3941,0.48851,9.867,229.4402,35.73978142052753
17.673,0.3541,-2.61514,9.5833,229.4573,35.843453302812
17.716,0.1698,-0.03553,8.8063,229.4567,35.9480453959644
17.759,0.1865,-1.70522,8.3622,229.4322,36.05340221767216
17.802,0.013,-0.07634,9.6084,229.3834,36.15957589690413
17.845,-0.2372,-0.99022,9.0362,229.3123,36.26645851021432
