time,ax,ay,az,yaw ,acc,velo,dist
5.16,0.2685,-0.33096,9.1418,190.5903,0.000394032665076,78.8477816186698,7540.57648723177
5.203,0.3966,1.85871,8.5791,190.57,0.372057226132061,79.0241850245484,7619.60067225632
5.246,0.636,-0.04053,9.0077,190.5684,0.289539780905649,79.1180709852006,7698.71874324152
5.289,0.3332,0.37422,9.4291,190.553,0.306475824724519,79.2288929896716,7777.94763623119
5.332,0.1201,1.627395,8.8365,190.5055,0.570659659779615,79.6038988291978,7857.55153506039
5.375,0.5223,-0.780885,9.1454,190.4839,0.300350727823692,79.708595736768,7937.26013079716
5.418,0.6815,-0.015435,10.5603,190.4379,0.237193582258954,79.7501354987735,8017.01026629593
5.461,0.259,-0.016695,10.795,190.3852,0.186415865807163,79.7408975443272,8096.75116384026
5.504,0.2051,0.011025,10.0947,190.32,0.15133769264573,79.6965814167194,8176.44774525698
5.547,0.3751,-1.039815,10.3592,190.2584,-0.086892845883416,79.4140347505825,8255.86178000756
5.59,0.4792,1.0857,9.0783,190.1527,0.147625723293268,79.3660066536223,8335.22778666118
5.633,0.1596,1.101975,8.5097,190.0444,0.338495578634614,79.5088484120035,8414.73663507319
5.676,-0.0607,-2.008965,11.1134,189.9729,-0.130996537092309,79.1821980546577,8493.91883312784
5.719,-0.1924,1.832355,10.382,189.8491,0.261673770326153,79.2482180047304,8573.16705113257
5.762,0.4984,-0.369915,10.4514,189.7459,0.135356016260922,79.1879202007379,8652.35497133331
5.805,0.3835,-0.40509,10.3089,189.6401,0.027266813008738,79.0195331934931,8731.37450452681
5.848,0.3463,0.706125,9.9342,189.5253,0.16303845040699,78.9869178236466,8810.36142235045
5.891,0.1871,-0.085785,10.0133,189.422,0.113273760325592,78.9045377637188,8889.26596011417
5.934,0.3643,-0.808605,10.674,189.3282,-0.071101991739526,78.6377819517258,8967.9037420659
5.977,0.4062,0.9198,9.6601,189.2157,0.127078406608379,78.5692065380807,9046.47294860398
6.02,0.5295,0.02352,8.9227,189.1186,0.106366725286703,78.4799194431139,9124.95286804709
6.063,0.7115,0.02604,9.0436,189.0248,0.090301380229363,78.3745670030898,9203.32743505018
6.106,0.6372,-2.450175,10.5687,188.9702,-0.41779389581651,77.7611192870198,9281.0885543372
6.149,0.4445,-0.860055,10.4681,188.8989,-0.506246116653208,77.0592193501132,9358.14777368731
6.192,0.6612,-1.95363,9.0077,188.8531,-0.795722893322567,76.0678426365371,9434.21561632385
6.235,0.8551,-0.30198,7.4096,188.7867,-0.696974314658053,75.1752145016256,9509.39083082548
6.278,1.0443,-2.338245,8.0859,188.7795,-1.02522845172644,73.9543322296457,9583.34516305512
6.321,0.9868,-1.24719,10.1425,188.7519,-1.06962076138115,72.6890576480111,9656.03422070313
6.364,0.4505,-0.31836,9.9115,188.7126,-0.919368609104923,71.5740352186527,9727.60825592179
6.407,0.6025,-1.76379,10.1234,188.7086,-1.08825288728394,70.2901285111153,9797.8983844329
6.45,0.1033,-1.02228,10.3628,188.7002,-1.07505830982715,69.0194163810346,9866.91780081393
6.493,-0.0523,-1.34778,10.4095,188.7049,-1.12960264786172,67.6941599129195,9934.61196072685
6.536,0.1105,0.258615,9.8361,188.6875,-0.851959118289377,66.6465469743766,10001.2585077012
6.579,0.2685,-0.953085,9.3405,188.6992,-0.872184294631502,65.5787088594916,10066.8372165607
6.622,0.1512,-0.22407,9.7176,188.6998,-0.742561435705201,64.640493603533,10131.4777101643
6.665,0.4014,-0.533295,9.9761,188.7074,-0.700708148564161,63.7441316347153,10195.221841799
6.708,0.6468,-0.963165,10.4406,188.7194,-0.753199518851329,62.7952782956105,10258.0171200946
