time,ax,ay,az,yaw,distance
17.759,-0.4606,-1.32432,6.6688,191.0736,122.03920637038019
17.802,0.4839,0.63416,1.5045,191.147,122.48298340723068
17.845,1.1866,2.20664,3.8867,191.2051,122.92637167681548
17.888,0.7556,-2.31456,15.5872,191.2632,123.3691112617788
17.931,-0.0859,-0.1856,19.6669,191.2952,123.81137570636614
17.974,1.0166,-6.47472,13.4731,191.328,124.25212613936723
18.017,0.8346,-3.03472,14.7983,191.3748,124.69107867138139
18.06,-0.1159,0.85632,10.9652,191.3714,125.12871883054993
18.103,0.3498,-0.85024,2.5185,191.38,125.56515828784369
18.146,0.8562,-0.61656,3.0907,191.3902,126.00053861017798
18.189,0.6323,-0.08128,8.3878,191.3834,126.43508974694268
18.232,1.1818,-1.43064,9.2007,191.3822,126.86876039598657
18.275,0.9484,-1.84912,8.5662,191.3827,127.30142679672404
18.318,1.3326,-1.19024,9.9381,191.3591,127.73309978373506
