time,ax,ay,az,yaw
17.415,0.4476,0.8629,9.5741,187.3265
17.458,0.3866,-0.734,11.6056,187.3398
17.501,-0.1377,1.489,10.5845,187.3169
17.544,0.3028,0.5792,9.622,187.2999
17.587,0.116,0.6833,8.2597,187.2668
17.63,0.0969,1.0209,8.0131,187.2206
17.673,0.3531,-0.5988,10.545,187.1861
17.716,-0.048,0.4846,10.5928,187.1362
17.759,-0.3843,-0.0876,10.7652,187.0896
17.802,-0.3293,0.4487,10.2289,187.0396
17.845,0.2561,0.8821,9.4053,186.9918
17.888,0.3638,0.1291,10.4049,186.953
17.931,-0.1042,-0.2983,10.2912,186.9173
17.974,0.1723,2.8716,8.5434,186.8797
18.017,0.2358,-0.594,9.3814,186.8587
18.06,-0.2227,-0.8394,11.3817,186.8418
18.103,0.3758,2.0121,8.8618,186.8078
18.146,-0.0539,0.8138,7.4133,186.7969
18.189,-0.133,-1.5002,9.8279,186.815
18.232,0.3698,1.7057,10.8239,186.8229
18.275,0.0945,-0.4371,11.1399,186.8519
18.318,0.48,1.3669,9.0234,186.8676
18.361,0.3028,0.1686,8.2788,186.8998
18.404,0.2453,0.0225,9.4795,186.9346
18.447,0.7589,2.1606,8.5697,186.9461
18.49,0.4452,-0.1905,9.6711,186.9837
18.533,0.0694,-0.6371,10.3977,187.0176
18.576,0.201,1.2484,10.1571,187.0284
18.619,-0.1138,-0.4838,9.8937,187.0502
18.662,-0.1306,-0.0445,10.4791,187.0634
18.705,0.2477,1.6159,9.9488,187.0579
18.748,-0.54,-0.7005,10.7628,187.0685
18.791,-0.1377,-0.1103,11.4272,187.0704
18.834,0.3291,2.218,8.9911,187.0533
18.877,-0.194,-0.7819,8.4213,187.0526
18.92,-0.0958,1.2304,7.7916,187.0308
18.963,0.541,1.6757,7.375,187.0034
19.006,0.2777,-2.4315,11.5757,186.9821
19.049,-0.0647,-0.2648,14.5636,186.9615
19.092,-0.7961,1.2101,12.9607,186.9254
19.135,-0.8692,1.6171,9.8183,186.8811
19.178,-0.3616,-0.655,8.3686,186.8336
19.221,0.2178,-0.1858,7.6791,186.7779
19.264,0.5003,1.8302,8.608,186.718
19.307,0.3016,1.3621,7.818,186.6473
19.35,0.3196,-0.5114,9.1276,186.5734
19.393,0.7242,1.0844,9.8973,186.4858
19.436,0.2334,1.1741,9.9308,186.3959
19.479,0.5015,-0.2157,10.7245,186.3041
19.522,0.0646,0.1207,11.2848,186.203
19.565,-0.0132,0.262,11.8175,186.094
19.608,-0.2084,0.1829,10.8777,185.9791
19.651,-0.7878,-0.005,9.9811,185.8682
19.694,0.1615,1.8373,8.316,185.7536
19.737,-0.3496,-1.2452,8.2417,185.6532
19.78,0.456,2.2384,8.7218,185.5502
19.823,-0.0336,-1.3733,10.9771,185.4677
19.866,-0.3963,-0.4767,12.9499,185.3945
19.909,-0.0073,2.6705,8.1711,185.3293
19.952,0.7361,-1.1794,7.3894,185.2811
19.995,0.201,1.0353,6.8878,185.2273
20.038,1.0893,0.912,7.8658,185.1793
20.081,0.9588,-1.7791,11.3171,185.1625
20.124,0.3914,1.5117,11.4296,185.1245
20.167,-0.3843,1.4483,11.2477,185.1004
20.21,-0.7028,-1.1003,11.7265,185.1072
20.253,0.2765,0.0776,10.4923,185.1091
20.296,0.1017,0.9216,9.622,185.1088
20.339,-0.2383,-0.7628,10.035,185.1248
20.382,0.5159,0.5217,9.142,185.132
20.425,0.207,1.0161,8.1543,185.1339
20.468,0.0969,-1.1722,9.8746,185.1491
20.511,0.2286,1.7344,9.6974,185.1293
20.554,-0.5064,-0.7771,10.1044,185.1079
20.597,0.0155,0.6702,10.1296,185.0668
20.64,0.6535,1.9152,8.2788,184.9872
20.683,-0.1473,-1.177,10.4528,184.897
20.726,0.3638,0.0465,10.8466,184.7637
20.769,0.4644,1.2723,9.883,184.6124
20.812,-0.0575,-0.1355,10.7293,184.4463
20.855,0.3902,0.3517,9.4305,184.2562
20.898,-0.2239,-0.5557,10.041,184.0607
20.941,0.6787,1.8768,8.3674,183.838
20.984,0.5027,-1.4822,9.185,183.6589
21.027,0.3806,-0.5748,9.8399,183.4719
21.07,0.7685,1.914,7.4828,183.2661
21.113,0.5937,0.3553,8.614,183.1126
21.156,0.4429,-0.6203,9.9895,182.9936
21.199,0.553,-1.2189,13.6778,182.9079
21.242,0.1627,-1.153,14.4128,182.8448
21.285,-0.461,3.5288,9.701,182.7903
21.328,-0.3999,-1.7959,8.808,182.7962
21.371,0.0789,-3.0169,8.5925,182.7908
21.414,0.4608,3.3601,6.7681,182.8066
21.457,0.1316,5.619,4.581,182.8518
21.5,1.5418,-5.8049,13.5964,182.9303
21.543,0.3136,0.8677,14.2057,182.9908
21.586,-0.4753,2.8908,9.8004,183.0671
21.629,-0.6429,-0.1056,9.4747,183.1473
21.672,0.2274,0.2284,8.9193,183.2303
21.715,-0.5914,0.3386,9.2174,183.3115
21.758,-0.0108,-0.3462,9.9799,183.3998
21.801,0.6296,0.0106,10.0314,183.4823
21.844,-0.2527,0.8593,8.4524,183.5615
21.887,-0.103,0.8725,6.7573,183.6464
21.93,0.8511,-1.6378,8.1675,183.7552
21.973,0.7828,2.564,8.7792,183.8505
22.016,0.0598,-1.9658,10.9232,183.9673
22.059,0.4632,0.1877,11.7971,184.0717
22.102,0.2872,-0.0457,12.2628,184.1799
22.145,-0.7985,-1.1829,14.2404,184.2958
22.188,-0.9183,-0.3043,13.0218,184.4072
22.231,-1.1565,2.0516,8.9301,184.5158
22.274,0.2741,-0.072,8.3602,184.6194
22.317,-0.0073,0.2165,8.3435,184.7132
22.36,0.2214,0.1901,7.9472,184.8004
22.403,0.1867,2.236,7.5797,184.8766
22.446,0.2681,-2.4016,10.375,184.9504
22.489,0.2118,0.0142,10.612,184.9983
22.532,0.6092,1.5776,9.7848,185.0197
22.575,-0.1521,-0.2971,9.7309,185.0345
22.618,0.6954,-1.5876,10.8359,185.0403
22.661,0.9983,3.5995,7.9868,185.0175
22.704,0.8271,-0.1211,8.1771,184.9913
22.747,0.1148,-2.3669,10.928,184.9786
22.79,0.8331,2.236,10.6228,184.9219
22.833,0.1388,0.6163,10.3857,184.8906
22.876,-0.2251,-0.9723,10.5019,184.8812
22.919,0.298,2.1594,8.4716,184.8736
22.962,0.4417,1.3585,8.1065,184.8688
23.005,-0.0659,-3.1091,11.5326,184.9276
23.048,0.699,1.8756,10.6491,184.9484
23.091,-0.449,0.0142,10.8454,184.994
23.134,-0.9015,-0.1486,10.4839,185.05
23.177,0.7302,2.376,9.0893,185.1133
23.22,-0.3389,-1.5983,10.8023,185.1832
23.263,-0.4502,1.4806,9.4688,185.2301
23.306,0.0777,0.7049,9.7704,185.279
23.349,-0.2395,1.1598,8.4931,185.3149
23.392,0.4309,1.2807,7.8527,185.3386
23.435,-0.0516,-0.2169,8.7313,185.3518
23.478,0.7481,1.6482,8.5853,185.3444
