time,ax,ay,az,yaw ,acc,velo,dis
35.346,0.2377,0.56078,10.2134,187.4577,1.03149323863739,32.4220676364338,77988.2384800076
35.389,-0.4087,0.67804,12.209,187.335,0.960802590909911,32.207339291323,78020.4458192989
35.432,-0.4566,-0.61776,12.6148,187.2357,0.645090072727929,31.6768984280302,78052.1227177269
35.475,-0.143,1.5642,10.2972,187.1544,0.828912058182343,31.3302795501919,78083.4529972771
35.518,-0.3393,-0.4202,10.7449,187.0978,0.579089646545875,30.7338382607171,78114.1868355378
35.561,-0.0305,2.00134,10.1823,187.0554,0.8635397172367,30.4218470419331,78144.6086825798
35.604,-0.4435,-1.02333,9.9848,187.038,0.48616577378936,29.7324818797017,78174.3411644595
35.647,-0.1909,1.79069,9.0367,187.0487,0.747070619031488,29.3040215627125,78203.6451860222
35.69,-0.0891,2.23179,6.4581,187.0875,1.04401449522519,29.172505121917,78232.8176911441
35.733,-0.0029,1.60765,9.9333,187.1353,1.15674159618015,29.1537157820765,78261.9714069262
35.776,0.2066,2.65716,10.7377,187.2169,1.45682527694412,29.4350101229999,78291.4064170492
35.819,0.4831,2.0185,9.3407,187.3268,1.5691602215553,29.8286394085345,78321.2350564577
35.862,-0.1957,2.03038,9.3359,187.4672,1.66140417724424,30.314512649758,78351.5495691074
35.905,-0.465,2.03302,9.7214,187.6386,1.73572734179539,30.8747090555327,78382.424278163
35.948,0.1575,1.65374,10.7593,187.8151,1.71932987343631,31.4185079929483,78413.8427861559
35.991,-0.1777,1.93028,9.0989,188.0126,1.76151989874905,32.0044969556767,78445.8472831116
36.034,-0.2962,0.32769,10.9448,188.2202,1.47475391899924,32.3037199386552,78478.1510030503
36.077,-0.1538,0.28424,11.5853,188.4338,1.23665113519939,32.3648401378339,78510.5158431881
36.12,-0.2866,0.64372,8.9265,188.6414,1.11806490815951,32.3073741099727,78542.8232172981
36.163,-0.2471,1.07305,8.073,188.8451,1.10906192652761,32.2409051004796,78575.0641223985
36.206,-0.2471,1.25081,9.4664,189.0359,1.13741154122209,32.202785705681,78607.2669081042
36.249,-0.1047,1.02432,9.81,189.2083,1.11479323297767,32.142048002638,78639.4089561069
36.292,-0.1131,1.19416,8.2789,189.3606,1.13066658638214,32.0971836529994,78671.5061397599
36.335,-0.0161,0.62403,8.6727,189.4904,1.02933926910571,31.9509919860844,78703.4571317459
36.378,-0.386,2.13961,9.2031,189.6035,1.25139341528457,32.0268544653483,78735.4839862113
36.421,-0.3058,-0.68233,11.4416,189.6739,0.864648732227655,31.7159722615553,78767.1999584729
36.464,-0.3417,2.50173,9.8399,189.7379,1.19206498578212,31.7325063113167,78798.9324647842
